date,demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2015-12-01,73,3,162,0,1,0,0,0,0,1
2015-12-08,63,2,246,0,1,0,0,0,0,1
2015-12-15,51,4,217,0,1,0,0,0,0,1
2015-12-22,90,3,265,0,1,0,0,0,0,1
2015-12-29,42,2,228,0,1,0,0,0,0,1
2016-01-05,61,1,188,0,1,0,0,0,0,1
2016-01-12,79,3,248,0,1,0,0,0,0,1
2016-01-19,58,1,261,0,1,0,0,0,0,1
2016-01-26,59,2,208,0,1,0,0,0,0,1
2016-02-02,72,3,529,0,1,0,0,0,0,1
2016-02-09,113,3,317,0,1,0,0,0,0,1
2016-02-16,65,2,233,0,1,0,0,0,0,1
2016-02-23,90,2,326,0,1,0,0,0,0,1
2016-03-01,82,3,316,0,1,0,0,0,0,1
2016-03-08,70,1,298,0,1,0,0,0,0,1
2016-03-15,94,1,177,0,1,0,0,0,0,1
2016-03-22,69,1,389,0,1,0,0,0,0,1
2016-03-29,73,1,346,0,1,0,0,0,0,1
2016-04-05,103,1,427,0,1,0,0,0,0,1
2016-04-12,76,1,186,0,1,0,0,0,0,1
2016-04-19,69,4,279,0,1,0,0,0,0,1
2016-04-26,79,4,265,0,1,0,0,0,0,1
2016-05-03,65,4,248,0,1,0,0,0,0,1
2016-05-10,89,3,322,0,1,0,0,0,0,1
2016-05-17,150,3,225,0,1,0,0,0,0,1
2016-05-24,73,4,284,0,1,0,0,0,0,1
2016-05-31,102,4,173,0,1,0,0,0,0,1
2016-06-07,105,4,271,0,1,0,0,0,0,1
2014-02-11,9,2,219,0,1,0,0,1,0,0
2014-02-18,9,3,205,0,1,0,0,1,0,0
2014-02-25,7,1,286,0,1,0,0,1,0,0
2014-03-04,6,2,294,0,1,0,0,1,0,0
2014-03-11,20,3,265,0,1,0,0,1,0,0
2014-03-18,11,2,174,0,1,0,0,1,0,0
2014-03-25,10,4,272,0,1,0,0,1,0,0
2014-04-01,14,2,344,0,1,0,0,1,0,0
2014-04-08,13,4,291,0,1,0,0,1,0,0
2014-04-15,15,4,159,0,1,0,0,1,0,0
2014-04-22,17,2,217,0,1,0,0,1,0,0
2014-04-29,8,3,155,0,1,0,0,1,0,0
2014-05-06,8,3,187,0,1,0,0,1,0,0
2014-05-13,20,3,233,0,1,0,0,1,0,0
2014-05-20,19,3,187,0,1,0,0,1,0,0
2014-05-27,13,1,197,0,1,0,0,1,0,0
2014-06-03,15,2,243,0,1,0,0,1,0,0
2014-06-10,17,2,405,0,1,0,0,1,0,0
2014-06-17,17,3,209,0,1,0,0,1,0,0
2014-06-24,9,1,147,0,1,0,0,1,0,0
2014-07-01,6,2,167,0,1,0,0,1,0,0
