demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
61,1,488.3615268611296,24.6,15.742857142857144,3.0,42.0,49.0,54.0,55.0,49.0,57.52884615384616,-12.807136034747709
70,2,141.39110247532528,24.585714285714282,11.828571428571427,0.0,61.0,42.0,49.0,54.0,55.0,57.93269230769232,10.082378026989524
68,3,239.46691351095112,24.342857142857145,11.942857142857141,0.0,70.0,61.0,42.0,49.0,54.0,58.07692307692307,13.824456191290858
61,1,273.94801411654163,25.657142857142855,17.235714285714288,0.0,68.0,70.0,61.0,42.0,49.0,57.97115384615384,3.2908933299511767
58,4,360.10442926713137,25.67142857142857,19.87142857142857,0.0,61.0,68.0,70.0,61.0,42.0,58.20192307692307,-1.2843361980551828
77,1,396.4088883050607,26.3,13.671428571428569,0.0,58.0,61.0,68.0,70.0,61.0,58.62500000000001,-11.221745213241036
59,1,252.19411319528686,26.771428571428572,14.135714285714286,0.0,77.0,58.0,61.0,68.0,70.0,58.79807692307693,-3.418666177674597
23,1,158.61879215769974,27.314285714285713,14.478571428571426,0.0,59.0,77.0,58.0,61.0,68.0,59.03846153846154,-29.811484287948737
68,2,160.09739658610275,28.657142857142862,11.828571428571427,0.0,23.0,59.0,77.0,58.0,61.0,59.375,2.0969796530591704
79,3,214.85438926836213,29.385714285714283,12.985714285714286,0.0,68.0,23.0,59.0,77.0,58.0,59.644230769230774,-3.972120508497023
60,2,328.4506766388863,29.5,13.085714285714285,0.0,79.0,68.0,23.0,59.0,77.0,59.721153846153854,11.575682776041074
66,3,234.23798697906426,29.985714285714284,13.428571428571427,0.0,60.0,79.0,68.0,23.0,59.0,60.19230769230769,4.979248039927139
50,2,152.15397252145584,29.271428571428572,14.935714285714289,0.0,66.0,60.0,79.0,68.0,23.0,60.71153846153847,-4.613981567981674
49,1,152.9202433964371,29.357142857142858,10.564285714285717,0.0,50.0,66.0,60.0,79.0,68.0,61.02884615384616,-3.7328522015315087
49,1,143.30540338989647,29.21428571428571,9.535714285714286,0.0,49.0,50.0,66.0,60.0,79.0,61.865384615384635,-0.2876202709787794
45,1,124.90719360421714,30.4,11.02142857142857,0.0,49.0,49.0,50.0,66.0,60.0,62.16346153846154,6.930047557009847
72,2,120.11121493277264,28.814285714285717,11.492857142857142,0.0,45.0,49.0,49.0,50.0,66.0,62.41346153846154,-12.518951281668196
8,1,123.60917788305954,28.5,12.514285714285714,0.0,72.0,45.0,49.0,49.0,50.0,62.8173076923077,-0.07371935111546847
92,2,153.85731434366443,27.87142857142857,11.142857142857142,0.0,8.0,72.0,45.0,49.0,49.0,63.0673076923077,-2.8560515231268413
68,2,145.04687997590838,25.885714285714283,13.9,5.1,92.0,8.0,72.0,45.0,49.0,63.55769230769231,9.390462458707935
52,3,135.54905812514548,26.057142857142853,9.764285714285714,0.0,68.0,92.0,8.0,72.0,45.0,64.16346153846155,7.284412337978614
59,2,145.46682493624232,25.085714285714282,11.95,56.6,52.0,68.0,92.0,8.0,72.0,64.51923076923077,0.9732340121210854
60,3,271.438602510306,22.371428571428577,10.571428571428571,9.9,59.0,52.0,68.0,92.0,8.0,64.76923076923077,10.235773634981507
72,4,263.05949130140715,22.214285714285715,10.335714285714284,5.8,60.0,59.0,52.0,68.0,92.0,65.15384615384616,2.139338898867567
52,3,310.1821045170236,20.7,8.85,3.0,72.0,60.0,59.0,52.0,68.0,65.58653846153845,17.401878521727994
74,3,223.79669465417254,20.45714285714286,8.392857142857142,0.0,52.0,72.0,60.0,59.0,52.0,66.89423076923077,-20.611222881052626
73,3,162.39738766956145,20.15714285714285,10.007142857142854,29.9,74.0,52.0,72.0,60.0,59.0,68.16346153846155,11.067983408474467
63,2,245.7364223706256,14.757142857142856,12.414285714285713,4.4,73.0,74.0,52.0,72.0,60.0,68.85576923076923,-3.0797333789215218
51,4,217.24995999179643,16.914285714285715,7.364285714285713,7.1,63.0,73.0,74.0,52.0,72.0,69.58653846153848,-2.2595014483688014
90,3,265.00806860189056,16.84285714285714,9.314285714285717,17.3,51.0,63.0,73.0,74.0,52.0,70.25000000000001,-14.855936184482735
42,2,228.00801663131847,16.842857142857145,6.564285714285715,0.5,90.0,51.0,63.0,73.0,74.0,70.86538461538464,4.525193181967428
61,1,187.5912648184849,13.1,17.464285714285715,22.4,42.0,90.0,51.0,63.0,73.0,71.09615384615388,-35.20906206696702
79,3,247.59080064555252,15.971428571428572,14.135714285714286,13.7,61.0,42.0,90.0,51.0,63.0,70.78846153846155,-0.4713740225631392
58,1,261.14588935713857,15.257142857142856,16.542857142857144,14.2,79.0,61.0,42.0,90.0,51.0,70.20192307692308,6.038241362052244
59,2,207.6128084931577,12.214285714285715,14.364285714285714,9.1,58.0,79.0,61.0,42.0,90.0,70.91346153846155,-8.880027868716986
72,3,529.1215034424091,12.057142857142857,8.735714285714286,0.0,59.0,58.0,79.0,61.0,42.0,72.28846153846155,-11.706950945640068
113,3,316.8258414835159,14.585714285714285,14.935714285714289,0.0,72.0,59.0,58.0,79.0,61.0,72.85576923076924,13.559997951815538
65,2,233.04738922160604,16.75714285714286,8.392857142857142,0.3,113.0,72.0,59.0,58.0,79.0,73.69230769230771,6.003999193039951
90,2,325.65167307528577,18.18571428571429,12.757142857142856,25.200000000000006,65.0,113.0,72.0,59.0,58.0,74.56730769230771,4.069795306059239
82,3,316.06531566758287,18.5,8.507142857142858,0.0,90.0,65.0,113.0,72.0,59.0,75.11538461538461,3.7093093677964735
70,1,297.8261133900001,18.1,12.871428571428574,0.0,82.0,90.0,65.0,113.0,72.0,75.82692307692308,-8.212074006363729
94,1,176.8307052438284,18.428571428571427,16.314285714285713,11.4,70.0,82.0,90.0,65.0,113.0,77.10576923076924,12.61013236306581
69,1,389.19186137525804,17.328571428571426,13.214285714285715,1.3,94.0,70.0,82.0,90.0,65.0,78.21153846153847,4.477210527367145
73,1,345.5434381918775,18.414285714285715,14.357142857142858,0.8,69.0,94.0,70.0,82.0,90.0,78.6346153846154,-5.479429257049474
103,1,426.50300918267294,19.2,8.735714285714286,0.0,73.0,69.0,94.0,70.0,82.0,80.24038461538464,-1.0995305799276305
76,1,185.67930082261287,21.428571428571427,10.8,21.4,103.0,73.0,69.0,94.0,70.0,82.04807692307693,21.719470661296786
69,4,278.72289816077785,19.85714285714285,10.114285714285714,7.1,76.0,103.0,73.0,69.0,94.0,82.77884615384616,-5.54806655901726
79,4,264.64129452282185,23.47142857142857,10.457142857142856,0.3,69.0,76.0,103.0,73.0,69.0,83.87499999999999,8.585037246309723
65,4,248.08211729070683,22.057142857142853,12.757142857142856,0.0,79.0,69.0,76.0,103.0,73.0,85.32692307692307,-9.73057689708125
89,3,321.68791847972136,21.571428571428566,12.757142857142856,1.5,65.0,79.0,69.0,76.0,103.0,86.52884615384615,-3.9372166814978655
150,3,225.23396782581676,25.57142857142857,10.114285714285714,0.3,89.0,65.0,79.0,69.0,76.0,87.72115384615383,0.14781020075219273
73,4,284.4278330801852,22.6,11.607142857142858,4.1,150.0,89.0,65.0,79.0,69.0,88.62499999999999,20.960401185566344
102,4,172.84445377371605,23.4,12.192857142857143,0.8,73.0,150.0,89.0,65.0,79.0,89.29807692307692,-12.807136034747709
105,4,270.53253819311095,26.114285714285717,10.0,0.0,102.0,73.0,150.0,89.0,65.0,89.95192307692308,10.082378026989524
102,4,283.7387196792672,25.62857142857143,11.828571428571427,0.0,105.0,102.0,73.0,150.0,89.0,90.30769230769229,13.824456191290858
91,4,222.5065362892579,26.6,9.878571428571428,0.0,102.0,105.0,102.0,73.0,150.0,90.7403846153846,3.2908933299511767
52,4,167.81574636460223,27.557142857142857,12.178571428571427,0.8999999999999999,91.0,102.0,105.0,102.0,73.0,90.96153846153842,-1.2843361980551828
51,4,229.90341897508011,27.78571428571429,12.87142857142857,0.0,52.0,91.0,102.0,105.0,102.0,91.07692307692308,-11.221745213241036
24,4,181.68071007556847,28.32857142857143,11.385714285714286,0.0,51.0,52.0,91.0,102.0,105.0,90.22084354005085,-3.418666177674597
132,4,182.74981586967687,27.857142857142854,9.65,0.0,24.0,51.0,52.0,91.0,102.0,90.8851477483927,-29.811484287948737
102,4,166.5802264329663,27.800000000000004,10.335714285714287,0.0,132.0,24.0,51.0,52.0,91.0,91.54945195673449,2.0969796530591704
104,4,177.75829421796763,28.1,8.964285714285714,0.0,102.0,132.0,24.0,51.0,52.0,92.21375616507629,-3.972120508497023
122,4,172.12768811348565,28.428571428571434,11.592857142857143,0.0,104.0,102.0,132.0,24.0,51.0,92.87806037341812,11.575682776041074
95,4,179.0198613680544,28.800000000000004,9.65,0.0,122.0,104.0,102.0,132.0,24.0,93.54236458175993,4.979248039927139
78,4,344.72824105169923,28.414285714285718,7.707142857142857,0.0,95.0,122.0,104.0,102.0,132.0,94.20666879010176,-4.613981567981674
95,4,158.85920697142106,29.057142857142853,8.507142857142856,0.0,78.0,95.0,122.0,104.0,102.0,94.87097299844356,-3.7328522015315087
136,4,153.64198921366315,27.714285714285715,9.19285714285714,0.0,95.0,78.0,95.0,122.0,104.0,95.53527720678538,-0.2876202709787794
73,4,164.34521740351278,27.4,8.507142857142856,0.0,136.0,95.0,78.0,95.0,122.0,96.1995814151272,6.930047557009847
88,4,265.8666190081093,27.328571428571426,8.507142857142856,0.0,73.0,136.0,95.0,78.0,95.0,96.863885623469,-12.518951281668196
159,4,282.94747548703083,26.142857142857142,10.8,0.5,88.0,73.0,136.0,95.0,78.0,97.52818983181083,-0.07371935111546847
129,4,162.7416312101989,26.12857142857143,9.65,0.0,159.0,88.0,73.0,136.0,95.0,98.19249404015264,-2.8560515231268413
107,4,167.57959067602346,25.17142857142857,7.135714285714287,0.0,129.0,159.0,88.0,73.0,136.0,98.85679824849448,9.390462458707935
127,4,159.2683967975012,25.071428571428577,9.992857142857146,0.0,107.0,129.0,159.0,88.0,73.0,99.52110245683627,7.284412337978614
135,3,160.4930369064086,23.78571428571429,8.507142857142858,0.0,127.0,107.0,129.0,159.0,88.0,100.18540666517806,0.9732340121210854
109,3,156.08491401674925,24.37142857142857,12.985714285714286,14.0,135.0,127.0,107.0,129.0,159.0,100.84971087351991,10.235773634981507
147,4,217.84603761884497,20.8,9.771428571428572,0.0,109.0,135.0,127.0,107.0,129.0,101.51401508186173,2.139338898867567
71,4,150.28471606655762,23.0,9.421428571428573,0.0,147.0,109.0,135.0,127.0,107.0,102.17831929020358,17.401878521727994
125,4,151.13176240892216,20.47142857142857,9.428571428571429,0.0,71.0,147.0,109.0,135.0,127.0,102.84262349854536,-20.611222881052626
90,4,151.99436438464355,18.585714285714285,9.192857142857145,0.0,125.0,71.0,147.0,109.0,135.0,103.50692770688718,11.067983408474467
83,4,168.5609965208124,17.32857142857143,16.67142857142857,0.0,90.0,125.0,71.0,147.0,109.0,104.171231915229,-3.0797333789215218
76,4,172.0474593165351,15.399999999999995,12.514285714285714,0.0,83.0,90.0,125.0,71.0,147.0,104.8355361235708,-2.2595014483688014
88,1,185.44505788373817,11.814285714285711,13.664285714285713,0.0,76.0,83.0,90.0,125.0,71.0,105.49984033191264,-14.855936184482735
56,3,155.4705921828375,13.714285714285715,18.15714285714285,0.0,88.0,76.0,83.0,90.0,125.0,106.16414454025444,4.525193181967428
42,2,182.7531487800263,14.45,31.975,2.3,56.0,88.0,76.0,83.0,90.0,106.82844874859627,-35.20906206696702
