date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-06-21,55,4,64.0,75.0,77.0,70.0,61.0,74.66346153846155,0.3297179183440768
2016-06-28,74,4,55.0,64.0,75.0,77.0,70.0,75.12500000000001,5.940663295713512
2016-07-05,64,4,74.0,55.0,64.0,75.0,77.0,76.05769230769229,4.96827533974962
2016-07-12,38,4,64.0,74.0,55.0,64.0,75.0,77.41359698953829,-5.420824433239863
2016-07-19,80,4,38.0,64.0,74.0,55.0,64.0,78.30043623455862,-13.884338291390026
2016-07-26,105,4,80.0,38.0,64.0,74.0,55.0,79.18727547957893,-5.738877790565822
2016-08-02,77,4,105.0,80.0,38.0,64.0,74.0,80.07411472459927,9.762351941027609
2016-08-09,98,4,77.0,105.0,80.0,38.0,64.0,80.9609539696196,2.3629406469800123
2016-08-16,101,4,98.0,77.0,105.0,80.0,38.0,81.84779321463992,5.872641406819504
2016-08-23,108,4,101.0,98.0,77.0,105.0,80.0,82.73463245966025,7.6090796071973426
2016-08-30,89,4,108.0,101.0,98.0,77.0,105.0,83.62147170468057,7.646799858857236
2016-09-06,85,4,89.0,108.0,101.0,98.0,77.0,84.50831094970091,3.678109854106872
2016-09-13,45,4,85.0,89.0,108.0,101.0,98.0,85.39515019472123,5.783137798074456
2016-09-20,121,4,45.0,85.0,89.0,108.0,101.0,86.28198943974155,-12.724013745137448
2016-09-27,107,4,121.0,45.0,85.0,89.0,108.0,87.16882868476186,8.756014198830137
2016-10-04,142,4,107.0,121.0,45.0,85.0,89.0,88.0556679297822,-4.7831886264330485
2016-10-11,104,4,142.0,107.0,121.0,45.0,85.0,88.94250717480253,18.607095727790934
2016-10-18,81,4,104.0,142.0,107.0,121.0,45.0,89.82934641982284,4.657636492271349
2016-10-25,110,3,81.0,104.0,142.0,107.0,121.0,90.7161856648432,7.724202897777393
2016-11-01,126,3,110.0,81.0,104.0,142.0,107.0,91.60302490986349,10.742692380206515
2016-11-08,85,4,126.0,110.0,81.0,104.0,142.0,92.48986415488385,11.77400237545615
2016-11-15,119,4,85.0,126.0,110.0,81.0,104.0,93.37670339990416,1.4976200630134726
2016-11-22,111,4,119.0,85.0,126.0,110.0,81.0,94.26354264492448,10.19559672492978
2016-11-29,88,4,111.0,119.0,85.0,126.0,110.0,95.1503818899448,5.182034925307619
2016-12-06,73,4,88.0,111.0,119.0,85.0,126.0,96.03722113496514,-0.8828089255965932
2016-12-13,100,4,73.0,88.0,111.0,119.0,85.0,96.92406037998545,-9.970088673936703
2016-12-20,80,1,100.0,73.0,88.0,111.0,119.0,97.8108996250058,-2.675958165866555
2016-12-27,184,3,80.0,100.0,73.0,88.0,111.0,98.69773887002613,0.6854800345112819
2017-01-03,145,2,184.0,80.0,100.0,73.0,88.0,99.58457811504644,37.69755926053015
