date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2014-03-11,33,31,45,46,48,39
2014-03-18,51,33,31,45,46,48
2014-03-25,47,51,33,31,45,46
2014-04-01,58,47,51,33,31,45
2014-04-08,44,58,47,51,33,31
2014-04-15,52,44,58,47,51,33
2014-04-22,60,52,44,58,47,51
2014-04-29,61,60,52,44,58,47
2014-05-06,42,61,60,52,44,58
2014-05-13,48,42,61,60,52,44
2014-05-20,60,48,42,61,60,52
2014-05-27,51,60,48,42,61,60
2014-06-03,61,51,60,48,42,61
2014-06-10,56,61,51,60,48,42
2014-06-17,62,56,61,51,60,48
2014-06-24,61,62,56,61,51,60
2014-07-01,36,61,62,56,61,51
2014-07-08,50,36,61,62,56,61
2014-07-15,26,50,36,61,62,56
2014-07-22,40,26,50,36,61,62
2014-07-29,18,40,26,50,36,61
2014-08-05,51,18,40,26,50,36
2014-08-12,38,51,18,40,26,50
2014-08-19,41,38,51,18,40,26
2014-08-26,48,41,38,51,18,40
2014-09-02,32,48,41,38,51,18
2014-09-09,51,32,48,41,38,51
2014-09-16,36,51,32,48,41,38
2014-09-23,36,36,51,32,48,41
2014-09-30,42,36,36,51,32,48
2014-10-07,23,42,36,36,51,32
2014-10-14,60,23,42,36,36,51
2014-10-21,47,60,23,42,36,36
2014-10-28,37,47,60,23,42,36
2014-11-04,50,37,47,60,23,42
2014-11-11,50,50,37,47,60,23
2014-11-18,87,50,50,37,47,60
2014-11-25,43,87,50,50,37,47
2014-12-02,53,43,87,50,50,37
2014-12-09,28,53,43,87,50,50
2014-12-16,44,28,53,43,87,50
2014-12-23,28,44,28,53,43,87
2014-12-30,44,28,44,28,53,43
2015-01-06,10,44,28,44,28,53
2015-01-13,38,10,44,28,44,28
2015-01-20,29,38,10,44,28,44
2015-01-27,48,29,38,10,44,28
2015-02-03,40,48,29,38,10,44
2015-02-10,36,40,48,29,38,10
2015-02-17,34,36,40,48,29,38
2015-02-24,48,34,36,40,48,29
2015-03-03,44,48,34,36,40,48
2015-03-10,16,44,48,34,36,40
2015-03-17,66,16,44,48,34,36
2015-03-24,51,66,16,44,48,34
2015-03-31,30,51,66,16,44,48
2015-04-07,65,30,51,66,16,44
2015-04-14,67,65,30,51,66,16
2015-04-21,38,67,65,30,51,66
2015-04-28,35,38,67,65,30,51
2015-05-05,65,35,38,67,65,30
2015-05-12,54,65,35,38,67,65
2015-05-19,44,54,65,35,38,67
2015-05-26,47,44,54,65,35,38
2015-06-02,50,47,44,54,65,35
2015-06-09,64,50,47,44,54,65
2015-06-16,74,64,50,47,44,54
2015-06-23,39,74,64,50,47,44
