date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2016-03-15,33,188,1,0,0,0,0,1,0
2016-03-22,46,392,1,0,0,0,0,1,0
2016-03-29,51,350,1,0,0,0,0,1,0
2016-04-05,45,441,1,0,0,0,0,1,0
2016-04-12,32,204,1,0,0,0,0,1,0
2016-04-19,46,298,1,0,0,0,0,1,0
2016-04-26,65,287,1,0,0,0,0,1,0
2016-05-03,65,269,1,0,0,0,0,1,0
2016-05-10,69,337,1,0,0,0,0,1,0
2016-05-17,48,246,1,0,0,0,0,1,0
2016-05-24,31,304,1,0,0,0,0,1,0
2016-05-31,26,186,1,0,0,0,0,1,0
2016-06-07,24,299,1,0,0,0,0,1,0
2014-02-11,16,160,0,1,0,0,0,0,1
2014-02-18,46,163,0,1,0,0,0,0,1
2014-02-25,37,246,0,1,0,0,0,0,1
2014-03-04,31,264,0,1,0,0,0,0,1
2014-03-11,50,231,0,1,0,0,0,0,1
2014-03-18,43,144,0,1,0,0,0,0,1
2014-03-25,16,245,0,1,0,0,0,0,1
2014-04-01,55,317,0,1,0,0,0,0,1
2014-04-08,59,278,0,1,0,0,0,0,1
2014-04-15,52,151,0,1,0,0,0,0,1
2014-04-22,65,204,0,1,0,0,0,0,1
2014-04-29,26,135,0,1,0,0,0,0,1
2014-05-06,53,171,0,1,0,0,0,0,1
2014-05-13,44,225,0,1,0,0,0,0,1
2014-05-20,52,155,0,1,0,0,0,0,1
2014-05-27,36,158,0,1,0,0,0,0,1
2014-06-03,58,222,0,1,0,0,0,0,1
2014-06-10,58,389,0,1,0,0,0,0,1
2014-06-17,32,204,0,1,0,0,0,0,1
2014-06-24,37,151,0,1,0,0,0,0,1
2014-07-01,50,157,0,1,0,0,0,0,1
2014-07-08,55,142,0,1,0,0,0,0,1
2014-07-15,22,139,0,1,0,0,0,0,1
2014-07-22,47,140,0,1,0,0,0,0,1
2014-07-29,15,288,0,1,0,0,0,0,1
2014-08-05,49,139,0,1,0,0,0,0,1
2014-08-12,32,139,0,1,0,0,0,0,1
2014-08-19,26,152,0,1,0,0,0,0,1
2014-08-26,63,140,0,1,0,0,0,0,1
2014-09-02,59,141,0,1,0,0,0,0,1
2014-09-09,41,210,0,1,0,0,0,0,1
2014-09-16,51,128,0,1,0,0,0,0,1
2014-09-23,48,159,0,1,0,0,0,0,1
2014-09-30,34,252,0,1,0,0,0,0,1
2014-10-07,18,120,0,1,0,0,0,0,1
2014-10-14,59,142,0,1,0,0,0,0,1
2014-10-21,37,241,0,1,0,0,0,0,1
2014-10-28,51,121,0,1,0,0,0,0,1
2014-11-04,53,234,0,1,0,0,0,0,1
2014-11-11,50,237,0,1,0,0,0,0,1
2014-11-18,34,176,0,1,0,0,0,0,1
2014-11-25,55,262,0,1,0,0,0,0,1
2014-12-02,50,134,0,1,0,0,0,0,1
2014-12-09,71,168,0,1,0,0,0,0,1
2014-12-16,54,261,0,1,0,0,0,0,1
2014-12-23,63,491,0,1,0,0,0,0,1
2014-12-30,25,319,0,1,0,0,0,0,1
2015-01-06,60,237,0,1,0,0,0,0,1
2015-01-13,55,512,0,1,0,0,0,0,1
2015-01-20,47,378,0,1,0,0,0,0,1
2015-01-27,42,342,0,1,0,0,0,0,1
2015-02-03,81,238,0,1,0,0,0,0,1
2015-02-10,55,328,0,1,0,0,0,0,1
2015-02-17,69,138,0,1,0,0,0,0,1
2015-02-24,53,435,0,1,0,0,0,0,1
2015-03-03,32,529,0,1,0,0,0,0,1
2015-03-10,89,669,0,1,0,0,0,0,1
2015-03-17,49,278,0,1,0,0,0,0,1
2015-03-24,72,287,0,1,0,0,0,0,1
2015-03-31,44,393,0,1,0,0,0,0,1
2015-04-07,81,250,0,1,0,0,0,0,1
2015-04-14,35,333,0,1,0,0,0,0,1
2015-04-21,73,235,0,1,0,0,0,0,1
2015-04-28,49,333,0,1,0,0,0,0,1
2015-05-05,55,145,0,1,0,0,0,0,1
2015-05-12,54,252,0,1,0,0,0,0,1
2015-05-19,49,155,0,1,0,0,0,0,1
2015-05-26,42,406,0,1,0,0,0,0,1
2015-06-02,61,488,0,1,0,0,0,0,1
2015-06-09,70,141,0,1,0,0,0,0,1
2015-06-16,68,239,0,1,0,0,0,0,1
2015-06-23,61,274,0,1,0,0,0,0,1
2015-06-30,58,360,0,1,0,0,0,0,1
2015-07-07,77,396,0,1,0,0,0,0,1
2015-07-14,59,252,0,1,0,0,0,0,1
2015-07-21,23,159,0,1,0,0,0,0,1
2015-07-28,68,160,0,1,0,0,0,0,1
2015-08-04,79,215,0,1,0,0,0,0,1
2015-08-11,60,328,0,1,0,0,0,0,1
2015-08-18,66,234,0,1,0,0,0,0,1
2015-08-25,50,152,0,1,0,0,0,0,1
2015-09-01,49,153,0,1,0,0,0,0,1
2015-09-08,49,143,0,1,0,0,0,0,1
2015-09-15,45,125,0,1,0,0,0,0,1
2015-09-22,72,120,0,1,0,0,0,0,1
2015-09-29,8,124,0,1,0,0,0,0,1
2015-10-06,92,154,0,1,0,0,0,0,1
2015-10-13,68,145,0,1,0,0,0,0,1
2015-10-20,52,136,0,1,0,0,0,0,1
2015-10-27,59,145,0,1,0,0,0,0,1
2015-11-03,60,271,0,1,0,0,0,0,1
2015-11-10,72,263,0,1,0,0,0,0,1
2015-11-17,52,310,0,1,0,0,0,0,1
2015-11-24,74,224,0,1,0,0,0,0,1
2015-12-01,73,162,0,1,0,0,0,0,1
2015-12-08,63,246,0,1,0,0,0,0,1
2015-12-15,51,217,0,1,0,0,0,0,1
2015-12-22,90,265,0,1,0,0,0,0,1
2015-12-29,42,228,0,1,0,0,0,0,1
2016-01-05,61,188,0,1,0,0,0,0,1
2016-01-12,79,248,0,1,0,0,0,0,1
2016-01-19,58,261,0,1,0,0,0,0,1
2016-01-26,59,208,0,1,0,0,0,0,1
2016-02-02,72,529,0,1,0,0,0,0,1
2016-02-09,113,317,0,1,0,0,0,0,1
2016-02-16,65,233,0,1,0,0,0,0,1
2016-02-23,90,326,0,1,0,0,0,0,1
2016-03-01,82,316,0,1,0,0,0,0,1
2016-03-08,70,298,0,1,0,0,0,0,1
2016-03-15,94,177,0,1,0,0,0,0,1
2016-03-22,69,389,0,1,0,0,0,0,1
2016-03-29,73,346,0,1,0,0,0,0,1
