date,demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-11-03,78,282.84526519091037,62.0,73.0,60.0,85.0,31.0,57.259615384615394,5.965963094096612
2015-11-10,78,274.86205506012084,78.0,62.0,73.0,60.0,85.0,57.28846153846154,10.45485487443273
2015-11-17,76,319.4314017725323,78.0,78.0,62.0,73.0,60.0,57.47115384615386,19.616823577845768
2015-11-24,69,233.7686641936492,76.0,78.0,78.0,62.0,73.0,57.68269230769232,11.256356383822913
2015-12-01,87,177.95138626393563,69.0,76.0,78.0,78.0,62.0,57.605769230769226,11.046530215441077
2015-12-08,91,263.5010994303953,87.0,69.0,76.0,78.0,78.0,57.32692307692307,17.884780970136163
2015-12-15,79,235.7568737112083,91.0,87.0,69.0,76.0,78.0,56.96153846153847,21.082006083805613
2015-12-22,107,287.8915796600832,79.0,91.0,87.0,69.0,76.0,56.47115384615384,22.891410684654552
2015-12-29,91,245.01578608483214,107.0,79.0,91.0,87.0,69.0,55.99038461538462,45.00209733678554
2016-01-05,82,206.63900622114681,91.0,107.0,79.0,91.0,87.0,55.44230769230769,25.833937835070376
2016-01-12,76,261.3550678200407,82.0,91.0,107.0,79.0,91.0,54.74999999999999,3.3794591110140835
2016-01-19,72,287.03585469537586,76.0,82.0,91.0,107.0,79.0,54.05769230769231,6.490036034091004
2016-01-26,57,235.13062609889855,72.0,76.0,82.0,91.0,107.0,53.62499999999999,8.04292064947562
2016-02-02,66,552.1806749254147,57.0,72.0,76.0,82.0,91.0,53.23076923076921,7.893882187937157
2016-02-09,38,329.1364949280054,66.0,57.0,72.0,76.0,82.0,52.49038461538462,12.309190786535687
2016-02-16,28,250.36485208349444,38.0,66.0,57.0,72.0,76.0,51.82692307692307,-8.497125119306387
2016-02-23,26,345.0780772957265,28.0,38.0,66.0,57.0,72.0,51.32692307692307,-14.630364102071535
2016-03-01,21,328.67799948553056,26.0,28.0,38.0,66.0,57.0,50.91346153846154,-8.209115905349508
2016-03-08,18,314.8217189645772,21.0,26.0,28.0,38.0,66.0,50.59615384615386,-10.464149759909537
2016-03-15,33,187.83679965065738,18.0,21.0,26.0,28.0,38.0,50.17307692307693,13.415431770145831
2016-03-22,46,391.95256049918856,33.0,18.0,21.0,26.0,28.0,49.5673076923077,7.307833813021704
2016-03-29,51,350.38261901263513,46.0,33.0,18.0,21.0,26.0,49.230769230769226,0.3893384200001484
2016-04-05,45,440.6501573233557,51.0,46.0,33.0,18.0,21.0,49.471153846153854,13.454817385952945
2016-04-12,32,203.54175381900436,45.0,51.0,46.0,33.0,18.0,49.403846153846146,1.4337578903672834
2016-04-19,46,298.41944566876236,32.0,45.0,51.0,46.0,33.0,49.240384615384606,-5.648199041115816
2016-04-26,65,286.86605323058114,46.0,32.0,45.0,51.0,46.0,49.28846153846153,3.3852286427856995
2016-05-03,65,269.4393617719913,65.0,46.0,32.0,45.0,51.0,49.30769230769231,2.0532717113026018
2016-05-10,69,337.28538930397275,65.0,65.0,46.0,32.0,45.0,49.04807692307693,0.8206737541784768
2016-05-17,48,246.00093016376846,69.0,65.0,65.0,46.0,32.0,48.644230769230774,0.9983322073107636
2016-05-24,31,304.03056532028864,48.0,69.0,65.0,65.0,46.0,48.40384615384616,-2.570804211351824
2016-05-31,26,186.44626581374862,31.0,48.0,69.0,65.0,65.0,48.23076923076924,-11.848273963347745
2016-06-07,24,299.4909135289364,26.0,31.0,48.0,69.0,65.0,48.09615384615386,-13.196256535856485
2016-06-14,18,311.05292367801707,24.0,26.0,31.0,48.0,69.0,47.68269230769232,-13.810264749390864
2016-06-21,22,250.21719197175858,18.0,24.0,26.0,31.0,48.0,47.42307692307693,-23.07170886036114
2016-06-28,19,190.6607217977681,22.0,18.0,24.0,26.0,31.0,47.509615384615394,-20.156870920049368
2016-07-05,16,248.1869542884468,19.0,22.0,18.0,24.0,26.0,47.41346153846154,-14.87664836435298
2016-07-12,10,203.85807397795867,16.0,19.0,22.0,18.0,24.0,45.44287042996285,-16.984433900695485
2016-07-19,24,203.1415835957333,10.0,16.0,19.0,22.0,18.0,45.09157970433911,-25.631986231329645
2016-07-26,38,188.1946382345801,24.0,10.0,16.0,19.0,22.0,44.74028897871537,-22.51992317734843
