date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-10-18,144,4,192.49537575924742,127.0,121.0,97.0,99.0,62.0,102.3062647354354,14.87335139621327
2016-10-25,130,3,214.1571776622539,144.0,127.0,121.0,97.0,99.0,102.9154571843252,20.282466733762824
2016-11-01,144,3,191.9029872474057,130.0,144.0,127.0,121.0,97.0,103.52464963321499,18.050556430286747
2016-11-08,143,4,255.05908044557157,144.0,130.0,144.0,127.0,121.0,104.13384208210478,21.107107665272192
2016-11-15,160,4,195.82804893534302,143.0,144.0,130.0,144.0,127.0,104.74303453099456,17.807889669488418
2016-11-22,167,4,196.2342392420316,160.0,143.0,144.0,130.0,144.0,105.35222697988436,20.48303064806361
2016-11-29,125,4,193.42508526477852,167.0,160.0,143.0,144.0,130.0,105.96141942877415,22.48829983176702
2016-12-06,107,4,211.41133222677692,125.0,167.0,160.0,143.0,144.0,106.57061187766395,1.8781844000858052
2016-12-13,164,4,220.8052436386959,107.0,125.0,167.0,160.0,143.0,107.17980432655376,-0.10693103159541197
2016-12-20,160,1,205.84777209139344,164.0,107.0,125.0,167.0,160.0,107.78899677544355,15.520133023902867
2016-12-27,354,3,166.34208095923196,160.0,164.0,107.0,125.0,167.0,108.39818922433335,11.176043233247292
2017-01-03,170,2,202.69176400416455,354.0,160.0,164.0,107.0,125.0,109.00738167322314,79.4761842118225
