demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
45,21,48,29,41,31
23,45,21,48,29,41
39,23,45,21,48,29
30,39,23,45,21,48
35,30,39,23,45,21
39,35,30,39,23,45
46,39,35,30,39,23
30,46,39,35,30,39
24,30,46,39,35,30
27,24,30,46,39,35
32,27,24,30,46,39
37,32,27,24,30,46
20,37,32,27,24,30
13,20,37,32,27,24
39,13,20,37,32,27
43,39,13,20,37,32
48,43,39,13,20,37
52,48,43,39,13,20
7,52,48,43,39,13
36,7,52,48,43,39
39,36,7,52,48,43
43,39,36,7,52,48
37,43,39,36,7,52
39,37,43,39,36,7
40,39,37,43,39,36
30,40,39,37,43,39
40,30,40,39,37,43
50,40,30,40,39,37
30,50,40,30,40,39
13,30,50,40,30,40
20,13,30,50,40,30
40,20,13,30,50,40
23,40,20,13,30,50
29,23,40,20,13,30
30,29,23,40,20,13
18,30,29,23,40,20
22,18,30,29,23,40
8,22,18,30,29,23
16,8,22,18,30,29
11,16,8,22,18,30
3,11,16,8,22,18
22,3,11,16,8,22
12,22,3,11,16,8
28,12,22,3,11,16
15,28,12,22,3,11
29,15,28,12,22,3
17,29,15,28,12,22
17,17,29,15,28,12
7,17,17,29,15,28
23,7,17,17,29,15
4,23,7,17,17,29
28,4,23,7,17,17
51,28,4,23,7,17
27,51,28,4,23,7
32,27,51,28,4,23
21,32,27,51,28,4
44,21,32,27,51,28
50,44,21,32,27,51
46,50,44,21,32,27
36,46,50,44,21,32
54,36,46,50,44,21
37,54,36,46,50,44
56,37,54,36,46,50
74,56,37,54,36,46
54,74,56,37,54,36
35,54,74,56,37,54
64,35,54,74,56,37
47,64,35,54,74,56
53,47,64,35,54,74
31,53,47,64,35,54
21,31,53,47,64,35
27,21,31,53,47,64
16,27,21,31,53,47
12,16,27,21,31,53
18,12,16,27,21,31
29,18,12,16,27,21
35,29,18,12,16,27
32,35,29,18,12,16
49,32,35,29,18,12
25,49,32,35,29,18
35,25,49,32,35,29
53,35,25,49,32,35
24,53,35,25,49,32
40,24,53,35,25,49
31,40,24,53,35,25
39,31,40,24,53,35
41,39,31,40,24,53
11,1,18,9,7,11
8,11,1,18,9,7
15,8,11,1,18,9
18,15,8,11,1,18
24,18,15,8,11,1
15,24,18,15,8,11
19,15,24,18,15,8
7,19,15,24,18,15
19,7,19,15,24,18
14,19,7,19,15,24
6,14,19,7,19,15
4,6,14,19,7,19
15,4,6,14,19,7
13,15,4,6,14,19
48,13,15,4,6,14
34,48,13,15,4,6
7,34,48,13,15,4
33,7,34,48,13,15
33,33,7,34,48,13
28,33,33,7,34,48
17,28,33,33,7,34
34,17,28,33,33,7
49,34,17,28,33,33
19,49,34,17,28,33
18,19,49,34,17,28
14,18,19,49,34,17
45,14,18,19,49,34
33,45,14,18,19,49
26,33,45,14,18,19
22,26,33,45,14,18
34,22,26,33,45,14
50,34,22,26,33,45
66,50,34,22,26,33
8,66,50,34,22,26
20,8,66,50,34,22
43,20,8,66,50,34
43,43,20,8,66,50
13,43,43,20,8,66
11,13,43,43,20,8
17,11,13,43,43,20
44,17,11,13,43,43
39,44,17,11,13,43
9,39,44,17,11,13
17,9,39,44,17,11
47,17,9,39,44,17
17,47,17,9,39,44
33,17,47,17,9,39
10,33,17,47,17,9
36,10,33,17,47,17
26,36,10,33,17,47
26,26,36,10,33,17
107,26,26,36,10,33
163,107,26,26,36,10
133,163,107,26,26,36
158,133,163,107,26,26
132,158,133,163,107,26
142,132,158,133,163,107
129,142,132,158,133,163
186,129,142,132,158,133
149,186,129,142,132,158
189,149,186,129,142,132
